Date,FIBBG000B9XRY4
2023-01-03,124.2163
2023-01-04,125.4975
2023-01-05,124.1666
2023-01-06,128.7352
2023-01-09,129.2616
2023-01-10,129.8377
2023-01-11,132.5788
2023-01-12,132.4994
2023-01-13,133.8402
2023-01-17,135.0121
2023-01-18,134.2871
2023-01-19,134.3467
2023-01-20,136.9289
2023-01-23,140.1468
2023-01-24,141.5571
2023-01-25,140.8917
2023-01-26,142.9774
2023-01-27,144.9339
2023-01-30,142.0239
2023-01-31,143.3051
2023-02-01,144.4373
2023-02-02,149.7905
2023-02-03,153.4454
2023-02-06,150.6943
2023-02-07,153.5944
2023-02-08,150.883
2023-02-09,149.8402
2023-02-10,150.2082
2023-02-13,153.0332
2023-02-14,152.3866
2023-02-15,154.5053
2023-02-16,152.8939
2023-02-17,151.7401
2023-02-21,147.6917
2023-02-22,148.1194
2023-02-23,148.6068
2023-02-24,145.9311
2023-02-27,147.1346
2023-02-28,146.6273
2023-03-01,144.5385
2023-03-02,145.1353
2023-03-03,150.2281
2023-03-06,153.0133
2023-03-07,150.7951
2023-03-08,152.0584
2023-03-09,149.7905
2023-03-10,147.7116
2023-03-13,149.6711
2023-03-14,151.7798
2023-03-15,152.1777
2023-03-16,155.0225
2023-03-17,154.177
2023-03-20,156.5643
2023-03-21,158.4343
2023-03-22,156.992
2023-03-23,158.0862
2023-03-24,159.3992
2023-03-27,157.4396
2023-03-28,156.813
2023-03-29,159.9164
2023-03-30,161.498
2023-03-31,164.0245
2023-04-03,165.2877
2023-04-04,164.7506
2023-04-05,162.8905
2023-04-06,163.7858
2023-04-10,161.1697
2023-04-11,159.9463
2023-04-12,159.25
2023-04-13,164.681
2023-04-14,164.3328
2023-04-17,164.3527
2023-04-18,165.5861
2023-04-19,166.74
2023-04-20,165.7652
2023-04-21,164.1438
2023-04-24,164.4522
2023-04-25,162.9005
2023-04-26,162.8905
2023-04-27,167.5158
2023-04-28,168.7791
2023-05-01,168.6896
2023-05-02,167.6452
2023-05-03,166.5609
2023-05-04,164.9098
2023-05-05,172.6485
2023-05-08,172.5788
2023-05-09,170.858
2023-05-10,172.6335
2023-05-11,172.8275
2023-05-12,171.8912
2023-05-15,171.3932
2023-05-16,171.3932
2023-05-17,172.0107
2023-05-18,174.3614
2023-05-19,174.471
2023-05-22,173.5148
2023-05-23,170.8852
2023-05-24,171.1641
2023-05-25,172.3095
2023-05-26,174.7399
2023-05-30,176.6026
2023-05-31,176.5528
2023-06-01,179.3816
2023-06-02,180.2382
2023-06-05,178.8736
2023-06-06,178.5051
2023-06-07,177.1205
2023-06-08,179.8597
2023-06-09,180.2482
2023-06-12,183.0671
2023-06-13,182.5889
2023-06-14,183.2264
2023-06-15,185.2783
2023-06-16,184.1926
2023-06-20,184.2823
2023-06-21,183.2364
2023-06-22,186.2644
2023-06-23,185.9457
2023-06-26,184.5412
2023-06-27,187.3203
2023-06-28,188.5056
2023-06-29,188.8442
2023-06-30,193.207
2023-07-03,191.703
2023-07-05,190.5774
2023-07-06,191.0555
2023-07-07,189.93
2023-07-10,187.8681
2023-07-11,187.3402
2023-07-12,189.0235
2023-07-13,189.7905
2023-07-14,189.9399
2023-07-17,193.2269
2023-07-18,192.968
2023-07-19,194.3326
2023-07-20,192.3703
2023-07-21,191.185
2023-07-24,191.9918
2023-07-25,192.8584
2023-07-26,193.7349
2023-07-27,192.46
2023-07-28,195.0597
2023-07-31,195.6773
2023-08-01,194.8356
2023-08-02,191.8225
2023-08-03,190.418
2023-08-04,181.2741
2023-08-07,178.1465
2023-08-08,179.0928
2023-08-09,177.4891
2023-08-10,177.27
2023-08-11,177.3298
2023-08-14,178.9955
2023-08-15,176.9907
2023-08-16,176.113
2023-08-17,173.5496
2023-08-18,174.0383
2023-08-21,175.3848
2023-08-22,176.7712
2023-08-23,180.6512
2023-08-24,175.9234
2023-08-25,178.1477
2023-08-28,179.7236
2023-08-29,183.6434
2023-08-30,187.1643
2023-08-31,187.3837
2023-09-01,188.9696
2023-09-05,189.209
2023-09-06,182.4365
2023-09-07,177.1004
2023-09-08,177.7188
2023-09-11,178.8957
2023-09-12,175.8437
2023-09-13,173.7591
2023-09-14,175.2851
2023-09-15,174.557
2023-09-18,177.5093
2023-09-19,178.6065
2023-09-20,175.0357
2023-09-21,173.4798
2023-09-22,174.3376
2023-09-25,175.6242
2023-09-26,171.5149
2023-09-27,169.9888
2023-09-28,170.2482
2023-09-29,170.7668
2023-10-02,173.3003
2023-10-03,171.9537
2023-10-04,173.2105
2023-10-05,174.4573
2023-10-06,177.0306
2023-10-09,178.5267
2023-10-10,177.9282
2023-10-11,179.3346
2023-10-12,180.2422
2023-10-13,178.3871
2023-10-16,178.2574
2023-10-17,176.6915
2023-10-18,175.3848
2023-10-19,175.0058
2023-10-20,172.4325
2023-10-23,172.5522
2023-10-24,172.9911
2023-10-25,170.6571
2023-10-26,166.458
2023-10-27,167.7846
2023-10-30,169.8492
2023-10-31,170.328
2023-11-01,173.5197
2023-11-02,177.1104
2023-11-03,176.1927
2023-11-06,178.7661
2023-11-07,181.3494
2023-11-08,182.4166
2023-11-09,181.9378
2023-11-10,186.1624
2023-11-13,184.5645
2023-11-14,187.2011
2023-11-15,187.7704
2023-11-16,189.4682
2023-11-17,189.4483
2023-11-20,191.206
2023-11-21,190.397
2023-11-22,191.0662
2023-11-24,189.7279
2023-11-27,189.5481
2023-11-28,190.1573
2023-11-29,189.1287
2023-11-30,189.7079
2023-12-01,190.9963
2023-12-04,189.1886
2023-12-05,193.1735
2023-12-06,192.0749
2023-12-07,194.0224
2023-12-08,195.4606
2023-12-11,192.9338
2023-12-12,194.4619
2023-12-13,197.7077
2023-12-14,197.8575
2023-12-15,197.3182
2023-12-18,195.6404
2023-12-19,196.689
2023-12-20,194.5817
2023-12-21,194.4319
2023-12-22,193.3533
2023-12-26,192.804
2023-12-27,192.9038
2023-12-28,193.3333
2023-12-29,192.2846
